BLEU,chrF,BERT-F1,dataset,translator,src_lang,tgt_lang,COMET
37.07558092538225,64.43340623198436,89.18661,flores,deepl,pt,sv,90.6069722622633
22.85577814228849,50.952471315017256,83.40631,ep,gpt,nl,pt,83.55297687649727
18.49525579870421,53.67401067599058,84.02871,ep,gpt,pt,fi,90.7764509583
25.503814937798108,59.0366073930656,85.48259,ep,deepl,da,fi,91.65195252001286
24.91729459476895,54.137668595197,84.97931,ep,gpt,fi,pt,86.47358795255423
30.59111734726719,60.647929035484815,86.14311,ep,deepl,sv,de,86.39428223669529
33.32566115458266,60.21619474535586,89.337036,flores,deepl,de,pt,87.4119036719203
28.913497392906844,58.83471086761581,86.87117,flores,gpt,da,nl,88.35273090004921
30.51263395195027,59.80192896090193,86.12016,ep,deepl,es,sv,87.84787105768919
49.25266328260639,71.4428585199926,92.05684,flores,gpt,en,da,91.94448374211788
36.14866686737648,60.663885089211846,87.003174,ep,deepl,de,es,85.33908043056726
24.61994880806996,55.00588698049758,85.42636,flores,deepl,el,nl,86.07535026967525
38.18625704832871,62.90307495207632,87.624756,ep,deepl,el,es,86.7680013179779
41.70502419329729,64.89960481974755,90.7146,flores,gpt,sv,pt,89.20107509195805
27.174453247463457,58.25509451729727,85.98802,ep,gpt,el,sv,89.49515679478645
31.180642369488957,59.41517304118958,87.23905,flores,gpt,it,de,86.61640530824661
29.00336680550429,56.71825886578464,84.34753,ep,deepl,fr,nl,85.71830319613218
39.72365444422841,65.08770007869288,89.92699,flores,deepl,pt,da,90.80633741617204
28.67433358669565,58.16909079261369,87.37068,flores,gpt,sv,it,88.5729017406702
35.29041917976486,62.58033086733189,88.80594,flores,gpt,fr,sv,89.64023269712925
31.222713323062152,58.01261312889812,85.92521,ep,deepl,sv,pt,85.96371032297611
31.288818504213022,59.46438121135903,85.46352,ep,gpt,de,fr,85.34031383693218
37.90301893526407,64.23223197862603,89.176155,flores,deepl,da,de,88.41723607480526
30.73888874125209,61.04288962354881,86.25218,ep,deepl,pt,de,85.87883701175451
26.43438502611079,56.48518923870935,85.44086,flores,gpt,el,nl,86.62264316529036
30.1166504944105,59.62469642227162,87.24477,flores,deepl,fi,sv,90.86946487426758
30.406653600175968,57.632084947974015,86.28765,ep,gpt,es,el,89.98085215121885
